Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2022-01-03,SBILIFE,EQ,1196.0,1196.0,1214.45,1196.0,1205.5,1209.4,1208.17,925281,111789380209999.98,52017,623182,67.35,17.79,28.13,50.82,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,SBILIFE,EQ,1209.4,1206.3,1227.0,1205.5,1218.1,1220.6,1218.63,1409464,171762053485000.0,43541,661391,46.93,32.37,28.13,50.82,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,SBILIFE,EQ,1220.6,1215.0,1225.0,1213.75,1220.45,1219.85,1219.55,378090,46109906015000.0,25241,171345,45.32,14.98,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2022-01-06,SBILIFE,EQ,1219.85,1208.8,1228.45,1202.15,1202.6,1205.6,1215.59,1387627,168678485420000.0,40297,730363,52.63,34.43,28.13,50.82,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-01-07,SBILIFE,EQ,1205.6,1208.0,1219.25,1206.0,1217.35,1217.4,1213.53,1050768,127513527955000.0,39820,814979,77.56,26.39,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2022-01-10,SBILIFE,EQ,1217.4,1219.0,1240.7,1213.3,1230.8,1229.1,1230.52,1379165,169709587730000.0,72071,878030,63.66,19.14,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,SBILIFE,EQ,1229.1,1230.8,1239.95,1224.1,1232.5,1233.4,1231.78,985871,121437225930000.0,55126,614230,62.3,17.88,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-01-12,SBILIFE,EQ,1233.4,1240.0,1255.4,1231.15,1247.35,1249.4,1245.97,1371034,170827142730000.0,44403,962172,70.18,30.88,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,SBILIFE,EQ,1249.4,1255.0,1261.0,1246.0,1260.05,1258.7,1254.9,933511,117145866820000.0,67818,545507,58.44,13.76,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,SBILIFE,EQ,1258.7,1259.0,1272.25,1254.5,1260.9,1263.6,1264.94,895522,113278458355000.0,41397,466723,52.12,21.63,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-17,SBILIFE,EQ,1263.6,1256.3,1293.25,1256.3,1288.4,1287.95,1282.46,1427239,183037437565000.0,81191,724365,50.75,17.58,28.13,50.82,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,SBILIFE,EQ,1287.95,1287.95,1293.0,1263.1,1267.65,1265.9,1273.87,869578,110772858540000.02,64978,528309,60.75,13.38,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-19,SBILIFE,EQ,1265.9,1263.0,1272.1,1240.6,1245.0,1248.1,1251.12,625670,78278943740000.0,42773,329707,52.7,14.63,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,SBILIFE,EQ,1248.1,1248.0,1255.65,1230.95,1237.95,1238.7,1239.91,716954,88895502590000.0,31405,398554,55.59,22.83,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,SBILIFE,EQ,1238.7,1225.0,1263.2,1201.0,1239.0,1240.65,1229.12,2421446,297624292645000.0,68953,1153458,47.64,35.12,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,SBILIFE,EQ,1240.65,1240.0,1240.0,1205.15,1226.95,1225.0,1219.0,1073781,130893416945000.0,58647,489031,56.69,18.31,28.13,50.82,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,SBILIFE,EQ,1225.0,1212.1,1232.9,1210.25,1231.0,1228.0,1224.28,1083251,132619826390000.02,72127,631816,58.33,15.02,28.13,50.82,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,SBILIFE,EQ,1228.0,1219.0,1221.9,1201.85,1211.3,1211.65,1210.65,1793456,217124449415000.0,84464,878749,49.0,21.23,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,SBILIFE,EQ,1211.65,1210.0,1237.75,1201.0,1204.0,1205.55,1219.65,635096,77459688310000.0,34695,310570,48.9,18.31,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-01-31,SBILIFE,EQ,1205.55,1210.0,1238.4,1206.05,1237.05,1233.25,1229.62,1771932,217879642340000.0,63249,1127275,63.62,28.02,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,SBILIFE,EQ,1233.25,1250.0,1250.0,1202.6,1217.0,1214.95,1225.46,1593083,195226198140000.0,96254,821448,51.56,16.55,28.13,50.82,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-02,SBILIFE,EQ,1214.95,1216.7,1227.55,1211.05,1217.6,1220.1,1219.11,937000,114230657480000.0,53847,536625,57.27,17.4,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0
2022-02-03,SBILIFE,EQ,1220.1,1218.05,1220.0,1175.6,1184.95,1185.2,1192.14,1236574,147416878660000.0,63601,703076,56.86,19.44,28.13,50.82,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-04,SBILIFE,EQ,1185.2,1194.0,1194.0,1165.15,1170.0,1172.1,1175.11,856452,100642315635000.0,50444,503864,58.83,16.98,28.13,50.82,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,SBILIFE,EQ,1172.1,1161.8,1171.7,1131.9,1146.3,1144.0,1145.23,1519928,174067264890000.0,63489,770335,50.68,23.94,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,SBILIFE,EQ,1144.0,1145.0,1149.0,1117.35,1128.85,1131.15,1129.79,1511667,170786798070000.0,89744,784765,51.91,16.84,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-09,SBILIFE,EQ,1131.15,1132.0,1140.8,1118.0,1128.95,1125.7,1126.47,1741687,196196295440000.0,74197,1184975,68.04,23.47,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-02-10,SBILIFE,EQ,1125.7,1125.0,1150.0,1108.0,1147.5,1146.25,1133.82,2030639,230237510080000.03,119252,1279315,63.0,17.03,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-11,SBILIFE,EQ,1146.25,1144.85,1144.85,1124.0,1128.0,1133.3,1134.73,1942394,220409814650000.0,77133,1150095,59.21,25.18,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-14,SBILIFE,EQ,1133.3,1125.0,1127.0,1090.0,1100.0,1096.3,1107.5,2448602,271181489135000.0,98845,1369020,55.91,24.77,28.13,50.82,0,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-15,SBILIFE,EQ,1096.3,1096.0,1123.65,1086.2,1119.3,1119.95,1106.12,1245681,137786658105000.0,66434,649479,52.14,18.75,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-16,SBILIFE,EQ,1119.95,1128.0,1131.5,1102.0,1127.45,1122.15,1118.31,1294606,144777420240000.0,51417,562753,43.47,25.18,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-17,SBILIFE,EQ,1122.15,1128.0,1132.85,1111.9,1121.1,1126.35,1122.52,1182862,132779074834999.98,61244,631932,53.42,19.31,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-02-18,SBILIFE,EQ,1126.35,1124.8,1160.9,1111.35,1147.05,1150.5,1150.14,1734791,199525303155000.0,62766,531665,30.65,27.64,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-21,SBILIFE,EQ,1150.5,1145.0,1150.5,1123.0,1140.0,1134.75,1137.89,1020384,116108913805000.0,38533,526114,51.56,26.48,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-22,SBILIFE,EQ,1134.75,1106.0,1126.5,1096.1,1098.0,1100.95,1105.94,2115917,234007350050000.0,72230,1398663,66.1,29.29,28.13,50.82,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-23,SBILIFE,EQ,1100.95,1108.0,1114.95,1098.7,1103.65,1101.75,1102.19,1743770,192196885240000.0,46678,1262912,72.42,37.36,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-02-24,SBILIFE,EQ,1101.75,1078.0,1091.5,1040.7,1050.0,1054.2,1065.14,2088599,222464276025000.0,88563,1187856,56.87,23.58,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,SBILIFE,EQ,1054.2,1060.0,1077.7,1049.0,1054.4,1055.6,1060.29,1415912,150128098825000.0,78164,789142,55.73,18.11,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-02-28,SBILIFE,EQ,1055.6,1049.0,1062.8,1016.85,1060.95,1060.15,1047.05,1566146,163983751120000.0,72153,910263,58.12,21.71,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SBILIFE,EQ,1060.15,1060.0,1125.0,1056.05,1120.05,1121.15,1101.81,3762611,414568117910000.0,120490,2249157,59.78,31.23,28.13,50.82,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SBILIFE,EQ,1121.15,1120.1,1126.75,1075.15,1084.0,1081.3,1096.17,1105747,121208637505000.0,69539,571554,51.69,15.9,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,SBILIFE,EQ,1081.3,1071.5,1077.4,1049.75,1056.5,1057.35,1062.01,1586668,168505014990000.0,68502,885806,55.83,23.16,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-03-07,SBILIFE,EQ,1057.35,1026.6,1048.8,1023.0,1028.0,1028.9,1031.63,852067,87901516620000.0,50377,446647,52.42,16.91,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-03-08,SBILIFE,EQ,1028.9,1009.0,1039.75,1003.5,1035.85,1031.95,1019.8,1580056,161134608560000.0,59538,878187,55.58,26.54,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09,SBILIFE,EQ,1031.95,1035.8,1041.95,1020.8,1031.15,1025.2,1028.22,1409037,144880230415000.0,66483,825640,58.6,21.19,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-03-10,SBILIFE,EQ,1025.2,1039.0,1057.1,1036.05,1049.4,1050.05,1046.33,1580932,165418139080000.0,56301,633355,40.06,28.08,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2022-03-11,SBILIFE,EQ,1050.05,1050.0,1066.1,1041.65,1054.2,1058.5,1058.37,698477,73924869180000.0,28618,266499,38.15,24.41,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2022-03-14,SBILIFE,EQ,1058.5,1047.0,1072.6,1040.15,1069.0,1069.7,1059.06,1278905,135443159145000.0,58389,710166,55.53,21.9,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15,SBILIFE,EQ,1069.7,1069.05,1079.35,1060.0,1070.4,1070.55,1071.49,1068905,114531592834999.98,49946,614464,57.49,21.4,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-03-16,SBILIFE,EQ,1070.55,1075.9,1097.8,1075.0,1084.0,1085.75,1085.59,1616431,175478541275000.0,48821,1056399,65.35,33.11,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,SBILIFE,EQ,1085.75,1096.0,1140.0,1088.1,1124.0,1128.55,1120.13,1867149,209145802590000.0,50596,1179222,63.16,36.9,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,SBILIFE,EQ,1128.55,1139.0,1139.0,1094.0,1095.1,1095.8,1109.99,849763,94323155280000.0,29117,419007,49.31,29.18,28.13,50.82,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,SBILIFE,EQ,1095.8,1092.5,1101.85,1070.0,1101.85,1097.65,1088.46,998586,108692588475000.0,35146,538043,53.88,28.41,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0
2022-03-23,SBILIFE,EQ,1097.65,1110.45,1117.7,1079.1,1085.65,1092.25,1095.73,1054362,115529777195000.0,39162,554241,52.57,26.92,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,SBILIFE,EQ,1092.25,1088.0,1097.5,1084.3,1088.8,1088.95,1090.38,526345,57391343435000.0,25334,310576,59.01,20.78,28.13,50.82,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-03-25,SBILIFE,EQ,1088.95,1094.0,1101.3,1085.6,1096.6,1092.6,1092.49,598919,65431568765000.0,33112,320752,53.56,18.09,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0
2022-03-28,SBILIFE,EQ,1092.6,1092.9,1103.8,1056.0,1070.0,1077.0,1079.52,926829,100052621245000.0,43327,276578,29.84,21.39,28.13,50.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
