Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Delivery,Action,Action_mean,Deliverble_mean,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2022-01-03,SUNPHARMA,EQ,845.7,845.0,860.05,840.9,850.15,848.95,849.02,3726756,316409349165000.0,80445,1917664,51.46,46.33,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-01-04,SUNPHARMA,EQ,848.95,852.5,854.0,832.4,838.9,837.7,839.72,3027262,254204105605000.03,61168,1677236,55.4,49.49,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,SUNPHARMA,EQ,837.7,840.0,844.55,830.65,837.15,835.1,836.77,2436343,203865403695000.0,56965,951652,39.06,42.77,52.14,39.39,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,SUNPHARMA,EQ,835.1,837.8,844.9,822.0,829.85,829.6,831.24,2423850,201479025130000.0,59719,778886,32.13,40.59,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,SUNPHARMA,EQ,829.6,829.6,836.0,825.2,829.6,828.95,829.81,1475374,122428676055000.0,62154,736076,49.89,23.74,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-01-10,SUNPHARMA,EQ,828.95,832.1,835.0,817.55,825.1,826.7,828.2,4837873,400671041280000.0,108775,2623791,54.23,44.48,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,SUNPHARMA,EQ,826.7,830.9,841.5,828.3,831.65,832.4,834.04,4950526,412891882970000.0,111341,2432934,49.14,44.46,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-01-12,SUNPHARMA,EQ,832.4,845.0,845.0,827.5,835.9,836.2,833.47,3953446,329506968985000.0,97409,1929394,48.8,40.59,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,SUNPHARMA,EQ,836.2,836.2,871.0,834.25,866.05,865.5,862.01,7395140,637467600980000.0,150758,3057636,41.35,49.05,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,SUNPHARMA,EQ,865.5,865.5,868.9,856.8,857.5,859.75,861.65,2351963,202657711290000.0,59348,1288419,54.78,39.63,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-01-17,SUNPHARMA,EQ,859.75,859.75,863.4,850.5,854.6,853.2,855.92,1750754,149850940650000.0,86621,804906,45.97,20.21,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-01-18,SUNPHARMA,EQ,853.2,855.0,867.2,845.0,848.0,846.7,855.61,3354708,287031886655000.0,95446,904634,26.97,35.15,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-19,SUNPHARMA,EQ,846.7,848.0,848.0,834.0,836.9,838.5,839.64,1677779,140872550900000.0,62609,801215,47.75,26.8,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,SUNPHARMA,EQ,838.5,839.3,842.75,815.65,821.9,820.0,823.79,2886894,237818809394999.97,78385,1691319,58.59,36.83,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,SUNPHARMA,EQ,820.0,816.5,819.7,801.1,808.7,808.75,809.92,3218477,260671182375000.0,78209,1607519,49.95,41.15,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,SUNPHARMA,EQ,808.75,804.0,825.0,791.6,797.0,800.85,807.78,5300160,428135292985000.0,97932,1781355,54.26,54.12,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-01-25,SUNPHARMA,EQ,800.85,791.0,811.7,784.8,807.95,808.05,801.21,3779497,302817518710000.0,82895,1985699,52.54,45.59,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,SUNPHARMA,EQ,808.05,802.0,817.4,791.3,810.2,812.1,806.32,3593525,289751698010000.0,83443,1938681,53.95,43.07,52.14,39.39,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,SUNPHARMA,EQ,812.1,816.0,842.9,812.1,829.45,827.35,832.1,5073701,422180388915000.0,100008,2880720,56.78,50.73,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,SUNPHARMA,EQ,827.35,830.1,849.75,820.05,834.0,834.5,836.27,8041517,672491333100000.0,158475,2580859,32.09,50.74,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-02-01,SUNPHARMA,EQ,834.5,847.4,895.0,839.85,891.9,891.75,876.9,12337459,1081874971300000.0,237350,3238150,26.25,51.98,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-02,SUNPHARMA,EQ,891.75,890.0,898.45,882.0,890.0,890.65,888.89,4404741,391535139570000.0,102986,1681106,38.17,42.77,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-02-03,SUNPHARMA,EQ,890.65,889.35,891.2,880.45,883.0,883.55,885.96,2292825,203134305960000.0,115997,1270397,55.41,19.77,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-02-04,SUNPHARMA,EQ,883.55,882.9,902.85,881.35,893.45,893.95,892.88,4222492,377017078025000.0,112529,2055095,48.67,37.52,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,SUNPHARMA,EQ,893.95,901.45,901.45,879.7,886.1,887.05,888.64,3494623,310546565555000.0,75880,1953858,55.91,46.05,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08,SUNPHARMA,EQ,887.05,886.0,895.95,882.0,895.0,894.1,889.9,4766558,424174689480000.0,111675,3457969,72.55,42.68,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2022-02-09,SUNPHARMA,EQ,894.1,893.9,894.55,885.35,886.2,886.45,889.11,2874380,255564185465000.0,78665,1823073,63.42,36.54,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-02-10,SUNPHARMA,EQ,886.45,891.4,896.25,880.0,891.85,894.3,888.13,3159839,280634138505000.03,83472,1979585,62.65,37.86,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-11,SUNPHARMA,EQ,894.3,894.6,895.8,874.65,878.0,880.1,881.28,2682532,236405923940000.0,61070,1404576,52.36,43.93,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-14,SUNPHARMA,EQ,880.1,870.0,886.65,862.2,862.3,864.85,875.34,5163415,451972894314999.94,105630,3185813,61.7,48.88,52.14,39.39,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-15,SUNPHARMA,EQ,864.85,862.5,880.0,859.05,878.0,876.8,869.28,3219287,279846952230000.03,94901,1701508,52.85,33.92,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-16,SUNPHARMA,EQ,876.8,876.0,881.15,867.1,868.05,868.85,872.87,2136415,186481649075000.0,61002,1034714,48.43,35.02,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-17,SUNPHARMA,EQ,868.85,872.35,872.35,861.3,862.3,862.55,865.7,2275289,196971499690000.0,55845,1158358,50.91,40.74,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-18,SUNPHARMA,EQ,862.55,862.55,867.9,856.4,864.6,862.9,863.88,1797851,155312075165000.0,51122,891234,49.57,35.17,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-02-21,SUNPHARMA,EQ,862.9,855.5,864.0,839.5,845.0,843.85,850.64,2305713,196132888980000.0,60304,1060101,45.98,38.23,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-22,SUNPHARMA,EQ,843.85,836.0,849.0,824.6,847.2,845.8,834.13,3171552,264549683255000.03,79862,1676402,52.86,39.71,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0
2022-02-23,SUNPHARMA,EQ,845.8,849.85,853.0,838.05,838.4,840.25,844.44,1979574,167163332940000.0,62251,1009813,51.01,31.8,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-24,SUNPHARMA,EQ,840.25,830.6,836.95,815.0,817.0,818.25,823.67,3679222,303047895710000.0,110697,1884132,51.21,33.24,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,SUNPHARMA,EQ,818.25,820.5,835.0,817.05,830.0,831.55,828.49,2098988,173898644925000.0,54873,1105360,52.66,38.25,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0
2022-02-28,SUNPHARMA,EQ,831.55,821.0,847.0,821.0,844.2,843.9,835.35,4123139,344425961985000.0,95812,2450695,59.44,43.03,52.14,39.39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,SUNPHARMA,EQ,843.9,844.35,844.95,815.7,820.1,820.9,826.04,3807036,314475164260000.0,116362,1622446,42.62,32.72,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,SUNPHARMA,EQ,820.9,832.8,832.8,817.0,819.5,820.9,824.46,2657776,219123639630000.03,61090,1481463,55.74,43.51,52.14,39.39,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,SUNPHARMA,EQ,820.9,816.3,839.6,809.35,827.2,829.65,828.01,4082674,338048162485000.0,98184,2076825,50.87,41.58,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07,SUNPHARMA,EQ,829.65,818.0,829.0,809.1,822.75,822.65,820.45,3065234,251485956340000.0,83912,1732614,56.52,36.53,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-03-08,SUNPHARMA,EQ,822.65,826.2,861.7,826.2,855.9,855.0,842.1,4864275,409620969505000.0,115665,2687471,55.25,42.05,52.14,39.39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09,SUNPHARMA,EQ,855.0,863.4,885.8,860.0,866.0,868.25,874.55,7276355,636353208685000.0,160903,4073025,55.98,45.22,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10,SUNPHARMA,EQ,868.25,869.9,881.9,866.6,868.0,869.55,871.81,2899758,252804081644999.97,81684,1519512,52.4,35.5,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-03-11,SUNPHARMA,EQ,869.55,872.0,907.0,869.05,901.45,902.0,894.57,7194497,643597400365000.0,128229,2563243,35.63,56.11,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,SUNPHARMA,EQ,902.0,901.95,911.8,889.95,891.5,892.25,899.98,3861194,347497873720000.0,81941,1468499,38.03,47.12,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15,SUNPHARMA,EQ,892.25,893.7,908.0,881.35,892.0,891.65,892.19,4039746,360421834210000.0,84414,1978541,48.98,47.86,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2022-03-16,SUNPHARMA,EQ,891.65,900.0,900.0,880.45,887.7,889.2,887.33,3134307,278116070315000.0,71887,1516180,48.37,43.6,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,SUNPHARMA,EQ,889.2,892.2,915.0,892.2,914.95,911.6,904.89,5484100,496252901835000.06,108357,3048495,55.59,50.61,52.14,39.39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,SUNPHARMA,EQ,911.6,912.5,931.0,911.3,913.1,913.8,922.76,3878744,357915607735000.0,82347,1583473,40.82,47.1,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,SUNPHARMA,EQ,913.8,913.8,922.0,902.5,913.0,914.1,913.36,2174495,198610258855000.0,60939,656190,30.18,35.68,52.14,39.39,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2022-03-23,SUNPHARMA,EQ,914.1,918.0,926.0,895.8,897.9,900.8,914.23,2578669,235748407825000.0,66985,971436,37.67,38.5,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,SUNPHARMA,EQ,900.8,886.0,914.7,885.5,907.05,908.85,904.61,3141478,284180965945000.0,68606,1211816,38.57,45.79,52.14,39.39,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0
2022-03-25,SUNPHARMA,EQ,908.85,911.85,914.95,896.3,905.0,902.35,903.05,1571676,141930748980000.0,47724,731741,46.56,32.93,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2022-03-28,SUNPHARMA,EQ,902.35,908.9,910.9,899.3,904.95,905.9,904.47,1545077,139747953480000.0,38853,665612,43.08,39.77,52.14,39.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
